# messageDelay  cumulativeProbability
0.0100 0.0010
0.0100 0.0019
0.0100 0.0029
0.0100 0.0039
0.0100 0.0048
0.0100 0.0058
0.0100 0.0068
0.0100 0.0078
0.0100 0.0087
0.0100 0.0097
0.0100 0.0107
0.0100 0.0116
0.0100 0.0126
0.0100 0.0136
0.0100 0.0145
0.0100 0.0155
0.0100 0.0165
0.0100 0.0175
0.0100 0.0184
0.0100 0.0194
0.0100 0.0204
0.0100 0.0213
0.0100 0.0223
0.0100 0.0233
0.0100 0.0242
0.0100 0.0252
0.0100 0.0262
0.0100 0.0272
0.0100 0.0281
0.0100 0.0291
0.0100 0.0301
0.0100 0.0310
0.0100 0.0320
0.0100 0.0330
0.0100 0.0339
0.0100 0.0349
0.0100 0.0359
0.0100 0.0369
0.0100 0.0378
0.0100 0.0388
0.0100 0.0398
0.0100 0.0407
0.0100 0.0417
0.0100 0.0427
0.0100 0.0436
0.0100 0.0446
0.0100 0.0456
0.0100 0.0466
0.0100 0.0475
0.0100 0.0485
0.0100 0.0495
0.0100 0.0504
0.0100 0.0514
0.0100 0.0524
0.0100 0.0533
0.0100 0.0543
0.0100 0.0553
0.0100 0.0563
0.0100 0.0572
0.0100 0.0582
0.0100 0.0592
0.0100 0.0601
0.0100 0.0611
0.0100 0.0621
0.0100 0.0630
0.0100 0.0640
0.0100 0.0650
0.0100 0.0660
0.0100 0.0669
0.0100 0.0679
0.0100 0.0689
0.0100 0.0698
0.0100 0.0708
0.0100 0.0718
0.0100 0.0727
0.0100 0.0737
0.0100 0.0747
0.0100 0.0757
0.0100 0.0766
0.0100 0.0776
0.0100 0.0786
0.0100 0.0795
0.0100 0.0805
0.0100 0.0815
0.0100 0.0824
0.0100 0.0834
0.0100 0.0844
0.0100 0.0854
0.0100 0.0863
0.0100 0.0873
0.0100 0.0883
0.0100 0.0892
0.0100 0.0902
0.0100 0.0912
0.0100 0.0921
0.0100 0.0931
0.0100 0.0941
0.0100 0.0951
0.0100 0.0960
0.0100 0.0970
0.0100 0.0980
0.0100 0.0989
0.0100 0.0999
0.0100 0.1009
0.0100 0.1018
